LLM;name;open source;organization;params(B);multi-image
InternVL2.5-78B;InternVL2_5-78B;Yes;Shanghai AI Lab,Tsinghua University;78.0;Yes
Qwen2-VL-72B;Qwen2-VL-72B-Instruct;Yes;Alibaba;73.4;Yes
InternVL2.5-38B;InternVL2_5-38B;Yes;Shanghai AI Lab,Tsinghua University;38.0;Yes
InternVL2.5-26B;InternVL2_5-26B;Yes;Shanghai AI Lab,Tsinghua University;26.0;Yes
Ovis1.6-Gemma2-27B;Ovis1.6-Gemma2-27B;Yes;Alibaba;28.9;Yes
InternVL2-Llama3-76B;InternVL2-76B;Yes;Shanghai AI Lab,Tsinghua University,SenseTime;76.0;Yes
InternVL2-40B;InternVL2-40B;Yes;Shanghai AI Lab,Tsinghua University,SenseTime;40.0;Yes
Ovis1.6-Gemma2-9B;Ovis1.6-Gemma2-9B;Yes;Alibaba;10.2;Yes
InternVL2.5-8B;InternVL2_5-8B;Yes;Shanghai AI Lab,Tsinghua University;8.0;Yes
LLaVA-OneVision-72B;llava_onevision_qwen2_72b_ov;Yes;ByteDance;73.0;Yes
Qwen2-VL-7B;Qwen2-VL-7B-Instruct;Yes;Alibaba;8.0;Yes
InternVL2-26B;InternVL2-26B;Yes;Shanghai AI Lab,Tsinghua University,SenseTime;26.0;Yes
MiniCPM-V-2.6;MiniCPM-V-2_6;Yes;OpenBMB;8.0;Yes
InternVL2.5-4B;InternVL2_5-4B;Yes;Shanghai AI Lab,Tsinghua University;4.0;Yes
InternVL2-8B-MPO-CoT;InternVL2-8B-MPO-CoT;Yes;Shanghai AI Lab,Tsinghua University;8.0;Yes
InternVL2-8B-MPO;InternVL2-8B-MPO;Yes;Shanghai AI Lab,Tsinghua University;8.0;Yes
InternVL2-8B;InternVL2-8B;Yes;Shanghai AI Lab,Tsinghua University,SenseTime;8.0;Yes
Ovis1.5-Gemma2-9B;Ovis1.5-Gemma2-9B;Yes;Alibaba;11.4;Yes
Aria;Aria;Yes;Rhymes AI;25.3;Yes
Llama-3.2-90B-Vision-Instruct;Llama-3.2-90B-Vision-Instruct;Yes;Meta;88.6;Yes
MMAlaya2;MMAlaya2;Yes;DataCanvas;26.0;Yes
Ovis1.5-Llama3-8B;Ovis1.5-Llama3-8B;Yes;Alibaba;8.0;Yes
InternVL-Chat-V1.5;InternVL-Chat-V1-5;Yes;Shanghai AI Lab;26.0;Yes
Ovis1.6-Llama3.2-3B;Ovis1.6-Llama3.2-3B;Yes;Alibaba;4.1;Yes
InternLM-XComposer2.5;XComposer2d5;Yes;Shanghai AI Lab;8.0;Yes
Pixtral-12B;Pixtral-12B;Yes;Mistral AI;13.0;Yes
InternVL2-4B;InternVL2-4B;Yes;Shanghai AI Lab,Tsinghua University,SenseTime;4.0;Yes
LLaVA-OneVision-7B;llava_onevision_qwen2_7b_ov;Yes;ByteDance;8.0;Yes
InternVL2.5-2B;InternVL2_5-2B;Yes;Shanghai AI Lab,Tsinghua University;2.0;Yes
Aquila-VL-2B;Aquila-VL-2B;Yes;BAAI;2.2;Yes
MiniCPM-Llama3-V2.5;MiniCPM-Llama3-V-2_5;Yes;OpenBMB;8.0;Yes
VILA1.5-40B;VILA1.5-40b;Yes;Nvidia;40.0;Yes
Llama-3.2-11B-Vision-Instruct;Llama-3.2-11B-Vision-Instruct;Yes;Meta;11.0;Yes
Qwen2-VL-2B;Qwen2-VL-2B-Instruct;Yes;Alibaba;2.0;Yes
Idefics3-8B-Llama3;Idefics3-8B-Llama3;Yes;HuggingFace;8.0;Yes
Mini-InternVL-Chat-4B-V1.5;Mini-InternVL-Chat-4B-V1-5;Yes;Shanghai AI Lab;4.0;Yes
XinYuan-VL-2B-Instruct;XinYuan-VL-2B-Instruct;Yes;Cylingo;2.0;Yes
Eagle-X5-34B-Chat;Eagle-X5-34B-Chat;Yes;Nvidia;36.8;Yes
LLaVA-Next-Yi-34B;llava_next_yi_34b;Yes;UW Madison;34.8;Yes
LLaVA-CoT;LLaVA-CoT;Yes;Peking University;11.0;Yes
InternVL2.5-1B;InternVL2_5-1B;Yes;Shanghai AI Lab,Tsinghua University;1.0;Yes
InternVL2-2B;InternVL2-2B;Yes;Shanghai AI Lab,Tsinghua University,SenseTime;2.0;Yes
H2OVL-2B;h2ovl-mississippi-2b;Yes;H2O.ai;2.2;Yes
MiniMonkey;minimonkey;Yes;HUST;2.2;Yes
Phi-3.5-Vision;Phi-3.5-Vision;Yes;Microsoft;4.0;Yes
Vintern-3B-beta;Vintern-3B-beta;Yes;5th Civil Defender;3.7;Yes
